Country Name,Country Code,Region,Income group,2022_pop,2022_gdp_pc
Seychelles,SYC,Sub-Saharan Africa,High income,119878,13250.45583
Syrian Arab Republic,SYR,Middle East & North Africa,Low income,22125249,
Turks and Caicos Islands,TCA,Latin America & Caribbean,High income,45703,24917.59581
Chad,TCD,Sub-Saharan Africa,Low income,17723315,716.8043811
Togo,TGO,Sub-Saharan Africa,Low income,8848699,942.6499016
Thailand,THA,East Asia & Pacific,Upper middle income,71697030,6909.956285
Tajikistan,TJK,Europe & Central Asia,Lower middle income,9952787,1054.189484
Turkmenistan,TKM,Europe & Central Asia,Upper middle income,6430770,8792.548504
Timor-Leste,TLS,East Asia & Pacific,Lower middle income,1341296,2389.295875
Tonga,TON,East Asia & Pacific,Upper middle income,106858,
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,1531044,19629.46534
Tunisia,TUN,Middle East & North Africa,Lower middle income,12356117,3747.419391
Turkiye,TUR,Europe & Central Asia,Upper middle income,84979913,10674.50417
Tuvalu,TUV,East Asia & Pacific,Upper middle income,11312,5221.532799
Tanzania,TZA,Sub-Saharan Africa,Lower middle income,65497748,1192.766479
Uganda,UGA,Sub-Saharan Africa,Low income,47249585,964.3958695
Ukraine,UKR,Europe & Central Asia,Lower middle income,38000000,4533.975586
Uruguay,URY,Latin America & Caribbean,High income,3422794,20795.04235
United States,USA,North America,High income,333287557,76329.58227
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,35648100,2255.151155
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,103948,9125.324771
"Venezuela, RB",VEN,Latin America & Caribbean,,28301696,
British Virgin Islands,VGB,Latin America & Caribbean,High income,31305,
Virgin Islands (U.S.),VIR,Latin America & Caribbean,High income,105413,
Viet Nam,VNM,East Asia & Pacific,Lower middle income,98186856,4163.514299
Vanuatu,VUT,East Asia & Pacific,Lower middle income,326740,3231.3513
Samoa,WSM,East Asia & Pacific,Lower middle income,222382,3745.560367
Kosovo,XKX,Europe & Central Asia,Upper middle income,1761985,5340.268798
"Yemen, Rep.",YEM,Middle East & North Africa,Low income,33696614,650.2722184
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,59893885,6766.481254
Zambia,ZMB,Sub-Saharan Africa,Lower middle income,20017675,1456.90157
Zimbabwe,ZWE,Sub-Saharan Africa,Lower middle income,16320537,1676.821489
